company	date	reviewer	rating	review
google	2019-05-08	Skivai	1	Google used to be good in the past and it was my main search engine, but now with their biased search results and immoral doings its become one of the most evil corporations out there. Its trying to set a standard on what is considered truth and fact, and trying to be a guide for which information and news sources are reliable giving priority for the most mainstream news outlets on every topic. Another thing, when typing in the search bar all search engines try and guess what you are most likely to search for by presenting u with a variety of guesses which are based on the popularity of searches made with the words you,re typing, but google does not do this and instead it gives you guesses based on things they think you should search for giving people a false idea of what is most searched for and in this way its manipulating people. There is tone of other things wrong they are certainly abusing their influence maybe on even more sinister ways but anybody can do their research if they care enough for which companies and corporations they support.
google	2019-05-08	Corbin Smith	1	The firing of a certain engineer for simply circulating a memo regarding the possible reasons women aren’t in tech and how to get them into tech ruins these bumbling SJW’s reputation.
google	2019-05-06	Sylvie LeCault	1	Review for Denissa Burta.... employee of AKALIUS rentalsI am sorry to say if it had the possibility to choose 0 star, I would of.I am out of a washer (for which I pay a high rent for) since 1 month.when Jenny was in St-Lambert's office I always had service and good manners.Now the employee there is NEVER THERE, never gives a return for the open ticket ¯­@ akalius in Montreal and if you are lucky enough to talk to her, her phone number is hidden (so you cannot call her back)During 1 month,  I have made 5 calls to Montreal's office, yesss will take care of it.One day, they told me (someone) will be there tomorrow to fix it.  I miss work and stayed home and they never showed up, and no call to advise.Sent many email with no return.Finally Mlle calls me back on a friday 5h30, (like an lawyer you know you cant do anything at this time cause everybody is gone for the weekend after that)  Mentionned many excuses why she cannot take care of the matter.  ???  Sorry, I do not accept anything else then a washer and right away cause you had 1 month to think of something.We are Monday and finally, (I hope so)  I will have another washer install at my arrival home) I don't understand why, we are kept hostage of this employee.Tennant of .... Akalius St-Lambert
google	2019-05-06	Angela	1	I BIND IN CHAINS WAHAD AND MARY PUKAL AND TOSS INTO THE DEEPEST PIT OF HELL WHERE YOU AND YOUR TERRORISM BELONG YOU SICK PIGS OUT OF MY LIFE
google	2019-05-05	Daktar Mjinga	4	Google is another vital tool in my life. Easily accessible and simple to use. I could be in the middle of an argument and within no time, I could access information to back my arguments. Fantastic educational tool.
google	2019-05-04	TheMichael	5	Amazing searching tool! Better than most others.
google	2019-05-03	Aldridge Fisher	2	Firstly, let me say that I love most hardware out of Google, it's great when it works!Google customer service actually do their best to resolve your problem, but, if they are sat in another country trying to resolve a problem on a £799 phone remotely, there are so many things you can fix remotely. You can't fix a faulty battery remotely, or any faulty hardware for that matter of fact!.If I spend £799 on a fruit company's phone, then I can walk into a store and get a resolution. But with Big G, my only option is to send the Pixel 2XL off to a service centre and hope that I was correct or else incur a charge for a replacement, or wait without a phone while someone determines if I was right or wrong. The actual process is quick, but it's not okay to be without a business tool for that amount of time. It's also not acceptable to have a chunk of my money (the phone wouldn't be worth that fully working on ebay or anywhere else) while they determine the problem.The other problem is that the back and forth with checking the condition of the phone (I'm now on my 3rd exchange of emails) means that I'm now a couple of days into the process without resolution.Pros1) Help chat directly from the phone is great!2) Service to replace is quick once it has been determined it should be replaced (previous experience)Cons1) Actual process is extremely poor, no consideration for how customers use their products or a service that I want to use. Might be a strategy to make you not return it2) Questions, or troubleshooting, about how you use the phone (like use the original charger only, etc) are a little basic. I expect the phone to work on a battery charger for example because if the battery is giving problems, then I'm tethered to a charger.In summary, it will be extremely difficult for me to buy the next iteration of the Pixel phone, I've had a nexus or pixel for 6 years but I am so dependent on having a working phone for so many reasons, i can't take the risk of having to go through the phone resolution process.
google	2019-05-03	test	5	Happy with google search
google	2019-04-30	Mark Hayes	5	good search engine much better than Bing
google	2019-04-28	Eugene Davis	1	I have tried dozens of times to recover a gmail stolen that has a game account linked that I spent money on losing everything. They have no contact even on fb you can leave stuff. They have to reason to care about you. I have been removing anything linked to Google and suggest everyone do the same. Yahoo has a recovery as does everyone else for thefts but Google will allow the theft to stand with no way to get it back. They allow others to gain identity theft and condone it.
google	2019-04-26	Jim xu	5	Even I am in China and I have to use a vpn to open it, I still love to use it. Usually I used it to search some questions from google, it is fast to get the answers. I love it.
google	2019-04-25	Raj Sekar	4	No 1 search engine...
google	2019-04-25	Wren Renko	1	Worst customer service ever. We had issues with my husbands phone.  No options that actually offer assistance for your problem, instead of offering a general help the call hangs up on you. I repeated the process 7 times before finally figuring out the problem myself.
google	2019-04-24	xxy	4	""" img src=1 onerror=alert(1)>"
google	2019-04-23	DeWon Farris	1	contacted Customer Service 3 times due to a charge on my card. The representative was not helpful. After speaking with a manager finally, they assured my money would be refunded. Received an email a week later stating they couldn't verify claims. Although my profile show I haven't made any purchases on my card. Called back after receiving email to speak with manager about issue again, I spelled out my email 7 times! and the rep on the phone didn't understand English and couldn't pull up my account. She then stops talking, starts breathing and typing while I sit here and ask 8 times! for a manager. This is unnacceptable. So bad, I posted my FIRST review of this company.
google	2019-04-22	test2test	4	testertetestertetestertetesterte
google	2019-04-13	attacker hacker	4	obwjdaonennewjfejwfjewjwfjefhbewhbffjfewfwe
google	2019-04-12	James Campbell	1	I received an email with a promotional code for my Adwords account, I tried to use it but I had problems, that's OK, these things happen.I phoned customer support and was told that I needed to provide information I didn't have access to before I could get any help, basically, I was told that to get the help I needed I would have to solve the problem myself first and then phone them back????  The customer support person was very rude, yawning constantly, not listening to what I said, asking questions and not listening to my answers, and talking over me.I sorted some of the issues and phoned back, and got through to a different person, he tried to put me through to a 'specialist' but they were too busy and a call back was arranged for 2:30pm, which never arrived (I am writing this at 4:50pm).Called back again and ended up talking to the original guy, he was just as rude, again no one available when he tried to put me through to a specialist.  He promised a call back 'within the day'.  I asked if he could tell me when I should expect the call, within 24hrs or today (either could be described as within the day), his answer was 'within the day', I thought he had misunderstood so I asked again, and again his response was 'within the day', at this point I just assumed he was trying to be rude.To be honest I lost my temper with this guy which I regret but it does take quite a bit to get me going like that.  I certainly would not expect that type of attitude and service from a properly trained customer service department.  I can only assume that Google does not care about me or my advertising budget (even though it is quite small) so I'm going to give up and stick with advertising on Facebook.Jim
google	2019-04-11	PolymorphicTech	3	Blah, blah, test
google	2019-05-10	sean paul	5	bitshoping(dot)netour site luxury shopping with bitcoin is a online shopping store . Our shopping inventory includes each and every product, starting from stylish watches to innovative electronics and smartphones to imported men and women wear. Toddler and infant clothing collection as well as baby toiletries are also ready to purchased from our shopping place.
google	2019-05-08	Skivai	1	Google used to be good in the past and it was my main search engine, but now with their biased search results and immoral doings its become one of the most evil corporations out there. Its trying to set a standard on what is considered truth and fact, and trying to be a guide for which information and news sources are reliable giving priority for the most mainstream news outlets on every topic. Another thing, when typing in the search bar all search engines try and guess what you are most likely to search for by presenting u with a variety of guesses which are based on the popularity of searches made with the words you,re typing, but google does not do this and instead it gives you guesses based on things they think you should search for giving people a false idea of what is most searched for and in this way its manipulating people. There is tone of other things wrong they are certainly abusing their influence maybe on even more sinister ways but anybody can do their research if they care enough for which companies and corporations they support.
google	2019-05-08	Corbin Smith	1	The firing of a certain engineer for simply circulating a memo regarding the possible reasons women aren’t in tech and how to get them into tech ruins these bumbling SJW’s reputation.
google	2019-05-06	Sylvie LeCault	1	Review for Denissa Burta.... employee of AKALIUS rentalsI am sorry to say if it had the possibility to choose 0 star, I would of.I am out of a washer (for which I pay a high rent for) since 1 month.when Jenny was in St-Lambert's office I always had service and good manners.Now the employee there is NEVER THERE, never gives a return for the open ticket ¯­@ akalius in Montreal and if you are lucky enough to talk to her, her phone number is hidden (so you cannot call her back)During 1 month,  I have made 5 calls to Montreal's office, yesss will take care of it.One day, they told me (someone) will be there tomorrow to fix it.  I miss work and stayed home and they never showed up, and no call to advise.Sent many email with no return.Finally Mlle calls me back on a friday 5h30, (like an lawyer you know you cant do anything at this time cause everybody is gone for the weekend after that)  Mentionned many excuses why she cannot take care of the matter.  ???  Sorry, I do not accept anything else then a washer and right away cause you had 1 month to think of something.We are Monday and finally, (I hope so)  I will have another washer install at my arrival home) I don't understand why, we are kept hostage of this employee.Tennant of .... Akalius St-Lambert
google	2019-05-06	Angela	1	I BIND IN CHAINS WAHAD AND MARY PUKAL AND TOSS INTO THE DEEPEST PIT OF HELL WHERE YOU AND YOUR TERRORISM BELONG YOU SICK PIGS OUT OF MY LIFE
google	2019-05-05	Daktar Mjinga	4	Google is another vital tool in my life. Easily accessible and simple to use. I could be in the middle of an argument and within no time, I could access information to back my arguments. Fantastic educational tool.
google	2019-05-04	TheMichael	5	Amazing searching tool! Better than most others.
google	2019-05-03	Aldridge Fisher	2	Firstly, let me say that I love most hardware out of Google, it's great when it works!Google customer service actually do their best to resolve your problem, but, if they are sat in another country trying to resolve a problem on a £799 phone remotely, there are so many things you can fix remotely. You can't fix a faulty battery remotely, or any faulty hardware for that matter of fact!.If I spend £799 on a fruit company's phone, then I can walk into a store and get a resolution. But with Big G, my only option is to send the Pixel 2XL off to a service centre and hope that I was correct or else incur a charge for a replacement, or wait without a phone while someone determines if I was right or wrong. The actual process is quick, but it's not okay to be without a business tool for that amount of time. It's also not acceptable to have a chunk of my money (the phone wouldn't be worth that fully working on ebay or anywhere else) while they determine the problem.The other problem is that the back and forth with checking the condition of the phone (I'm now on my 3rd exchange of emails) means that I'm now a couple of days into the process without resolution.Pros1) Help chat directly from the phone is great!2) Service to replace is quick once it has been determined it should be replaced (previous experience)Cons1) Actual process is extremely poor, no consideration for how customers use their products or a service that I want to use. Might be a strategy to make you not return it2) Questions, or troubleshooting, about how you use the phone (like use the original charger only, etc) are a little basic. I expect the phone to work on a battery charger for example because if the battery is giving problems, then I'm tethered to a charger.In summary, it will be extremely difficult for me to buy the next iteration of the Pixel phone, I've had a nexus or pixel for 6 years but I am so dependent on having a working phone for so many reasons, i can't take the risk of having to go through the phone resolution process.
google	2019-05-03	test	5	Happy with google search
google	2019-04-30	Mark Hayes	5	good search engine much better than Bing
google	2019-04-28	Eugene Davis	1	I have tried dozens of times to recover a gmail stolen that has a game account linked that I spent money on losing everything. They have no contact even on fb you can leave stuff. They have to reason to care about you. I have been removing anything linked to Google and suggest everyone do the same. Yahoo has a recovery as does everyone else for thefts but Google will allow the theft to stand with no way to get it back. They allow others to gain identity theft and condone it.
google	2019-04-26	Jim xu	5	Even I am in China and I have to use a vpn to open it, I still love to use it. Usually I used it to search some questions from google, it is fast to get the answers. I love it.
google	2019-04-25	Raj Sekar	4	No 1 search engine...
google	2019-04-25	Wren Renko	1	Worst customer service ever. We had issues with my husbands phone.  No options that actually offer assistance for your problem, instead of offering a general help the call hangs up on you. I repeated the process 7 times before finally figuring out the problem myself.
google	2019-04-24	xxy	4	""" img src=1 onerror=alert(1)>"
google	2019-04-23	DeWon Farris	1	contacted Customer Service 3 times due to a charge on my card. The representative was not helpful. After speaking with a manager finally, they assured my money would be refunded. Received an email a week later stating they couldn't verify claims. Although my profile show I haven't made any purchases on my card. Called back after receiving email to speak with manager about issue again, I spelled out my email 7 times! and the rep on the phone didn't understand English and couldn't pull up my account. She then stops talking, starts breathing and typing while I sit here and ask 8 times! for a manager. This is unnacceptable. So bad, I posted my FIRST review of this company.
google	2019-04-22	test2test	4	testertetestertetestertetesterte
google	2019-04-13	attacker hacker	4	obwjdaonennewjfejwfjewjwfjefhbewhbffjfewfwe
google	2019-04-12	James Campbell	1	I received an email with a promotional code for my Adwords account, I tried to use it but I had problems, that's OK, these things happen.I phoned customer support and was told that I needed to provide information I didn't have access to before I could get any help, basically, I was told that to get the help I needed I would have to solve the problem myself first and then phone them back????  The customer support person was very rude, yawning constantly, not listening to what I said, asking questions and not listening to my answers, and talking over me.I sorted some of the issues and phoned back, and got through to a different person, he tried to put me through to a 'specialist' but they were too busy and a call back was arranged for 2:30pm, which never arrived (I am writing this at 4:50pm).Called back again and ended up talking to the original guy, he was just as rude, again no one available when he tried to put me through to a specialist.  He promised a call back 'within the day'.  I asked if he could tell me when I should expect the call, within 24hrs or today (either could be described as within the day), his answer was 'within the day', I thought he had misunderstood so I asked again, and again his response was 'within the day', at this point I just assumed he was trying to be rude.To be honest I lost my temper with this guy which I regret but it does take quite a bit to get me going like that.  I certainly would not expect that type of attitude and service from a properly trained customer service department.  I can only assume that Google does not care about me or my advertising budget (even though it is quite small) so I'm going to give up and stick with advertising on Facebook.Jim
google	2019-04-11	PolymorphicTech	3	Blah, blah, test
google	2019-05-10	sean paul	5	bitshoping(dot)netour site luxury shopping with bitcoin is a online shopping store . Our shopping inventory includes each and every product, starting from stylish watches to innovative electronics and smartphones to imported men and women wear. Toddler and infant clothing collection as well as baby toiletries are also ready to purchased from our shopping place.
google	2019-05-08	Skivai	1	Google used to be good in the past and it was my main search engine, but now with their biased search results and immoral doings its become one of the most evil corporations out there. Its trying to set a standard on what is considered truth and fact, and trying to be a guide for which information and news sources are reliable giving priority for the most mainstream news outlets on every topic. Another thing, when typing in the search bar all search engines try and guess what you are most likely to search for by presenting u with a variety of guesses which are based on the popularity of searches made with the words you,re typing, but google does not do this and instead it gives you guesses based on things they think you should search for giving people a false idea of what is most searched for and in this way its manipulating people. There is tone of other things wrong they are certainly abusing their influence maybe on even more sinister ways but anybody can do their research if they care enough for which companies and corporations they support.
google	2019-05-08	Corbin Smith	1	The firing of a certain engineer for simply circulating a memo regarding the possible reasons women aren’t in tech and how to get them into tech ruins these bumbling SJW’s reputation.
google	2019-05-06	Sylvie LeCault	1	Review for Denissa Burta.... employee of AKALIUS rentalsI am sorry to say if it had the possibility to choose 0 star, I would of.I am out of a washer (for which I pay a high rent for) since 1 month.when Jenny was in St-Lambert's office I always had service and good manners.Now the employee there is NEVER THERE, never gives a return for the open ticket ¯­@ akalius in Montreal and if you are lucky enough to talk to her, her phone number is hidden (so you cannot call her back)During 1 month,  I have made 5 calls to Montreal's office, yesss will take care of it.One day, they told me (someone) will be there tomorrow to fix it.  I miss work and stayed home and they never showed up, and no call to advise.Sent many email with no return.Finally Mlle calls me back on a friday 5h30, (like an lawyer you know you cant do anything at this time cause everybody is gone for the weekend after that)  Mentionned many excuses why she cannot take care of the matter.  ???  Sorry, I do not accept anything else then a washer and right away cause you had 1 month to think of something.We are Monday and finally, (I hope so)  I will have another washer install at my arrival home) I don't understand why, we are kept hostage of this employee.Tennant of .... Akalius St-Lambert
google	2019-05-06	Angela	1	I BIND IN CHAINS WAHAD AND MARY PUKAL AND TOSS INTO THE DEEPEST PIT OF HELL WHERE YOU AND YOUR TERRORISM BELONG YOU SICK PIGS OUT OF MY LIFE
google	2019-05-05	Daktar Mjinga	4	Google is another vital tool in my life. Easily accessible and simple to use. I could be in the middle of an argument and within no time, I could access information to back my arguments. Fantastic educational tool.
google	2019-05-04	TheMichael	5	Amazing searching tool! Better than most others.
google	2019-05-03	Aldridge Fisher	2	Firstly, let me say that I love most hardware out of Google, it's great when it works!Google customer service actually do their best to resolve your problem, but, if they are sat in another country trying to resolve a problem on a £799 phone remotely, there are so many things you can fix remotely. You can't fix a faulty battery remotely, or any faulty hardware for that matter of fact!.If I spend £799 on a fruit company's phone, then I can walk into a store and get a resolution. But with Big G, my only option is to send the Pixel 2XL off to a service centre and hope that I was correct or else incur a charge for a replacement, or wait without a phone while someone determines if I was right or wrong. The actual process is quick, but it's not okay to be without a business tool for that amount of time. It's also not acceptable to have a chunk of my money (the phone wouldn't be worth that fully working on ebay or anywhere else) while they determine the problem.The other problem is that the back and forth with checking the condition of the phone (I'm now on my 3rd exchange of emails) means that I'm now a couple of days into the process without resolution.Pros1) Help chat directly from the phone is great!2) Service to replace is quick once it has been determined it should be replaced (previous experience)Cons1) Actual process is extremely poor, no consideration for how customers use their products or a service that I want to use. Might be a strategy to make you not return it2) Questions, or troubleshooting, about how you use the phone (like use the original charger only, etc) are a little basic. I expect the phone to work on a battery charger for example because if the battery is giving problems, then I'm tethered to a charger.In summary, it will be extremely difficult for me to buy the next iteration of the Pixel phone, I've had a nexus or pixel for 6 years but I am so dependent on having a working phone for so many reasons, i can't take the risk of having to go through the phone resolution process.
google	2019-05-03	test	5	Happy with google search
google	2019-04-30	Mark Hayes	5	good search engine much better than Bing
google	2019-04-28	Eugene Davis	1	I have tried dozens of times to recover a gmail stolen that has a game account linked that I spent money on losing everything. They have no contact even on fb you can leave stuff. They have to reason to care about you. I have been removing anything linked to Google and suggest everyone do the same. Yahoo has a recovery as does everyone else for thefts but Google will allow the theft to stand with no way to get it back. They allow others to gain identity theft and condone it.
google	2019-04-26	Jim xu	5	Even I am in China and I have to use a vpn to open it, I still love to use it. Usually I used it to search some questions from google, it is fast to get the answers. I love it.
google	2019-04-25	Raj Sekar	4	No 1 search engine...
google	2019-04-25	Wren Renko	1	Worst customer service ever. We had issues with my husbands phone.  No options that actually offer assistance for your problem, instead of offering a general help the call hangs up on you. I repeated the process 7 times before finally figuring out the problem myself.
google	2019-04-24	xxy	4	""" img src=1 onerror=alert(1)>"
google	2019-04-23	DeWon Farris	1	contacted Customer Service 3 times due to a charge on my card. The representative was not helpful. After speaking with a manager finally, they assured my money would be refunded. Received an email a week later stating they couldn't verify claims. Although my profile show I haven't made any purchases on my card. Called back after receiving email to speak with manager about issue again, I spelled out my email 7 times! and the rep on the phone didn't understand English and couldn't pull up my account. She then stops talking, starts breathing and typing while I sit here and ask 8 times! for a manager. This is unnacceptable. So bad, I posted my FIRST review of this company.
google	2019-04-22	test2test	4	testertetestertetestertetesterte
google	2019-04-13	attacker hacker	4	obwjdaonennewjfejwfjewjwfjefhbewhbffjfewfwe
google	2019-04-12	James Campbell	1	I received an email with a promotional code for my Adwords account, I tried to use it but I had problems, that's OK, these things happen.I phoned customer support and was told that I needed to provide information I didn't have access to before I could get any help, basically, I was told that to get the help I needed I would have to solve the problem myself first and then phone them back????  The customer support person was very rude, yawning constantly, not listening to what I said, asking questions and not listening to my answers, and talking over me.I sorted some of the issues and phoned back, and got through to a different person, he tried to put me through to a 'specialist' but they were too busy and a call back was arranged for 2:30pm, which never arrived (I am writing this at 4:50pm).Called back again and ended up talking to the original guy, he was just as rude, again no one available when he tried to put me through to a specialist.  He promised a call back 'within the day'.  I asked if he could tell me when I should expect the call, within 24hrs or today (either could be described as within the day), his answer was 'within the day', I thought he had misunderstood so I asked again, and again his response was 'within the day', at this point I just assumed he was trying to be rude.To be honest I lost my temper with this guy which I regret but it does take quite a bit to get me going like that.  I certainly would not expect that type of attitude and service from a properly trained customer service department.  I can only assume that Google does not care about me or my advertising budget (even though it is quite small) so I'm going to give up and stick with advertising on Facebook.Jim
google	2019-04-11	PolymorphicTech	3	Blah, blah, test
google	2019-05-10	sean paul	5	bitshoping(dot)netour site luxury shopping with bitcoin is a online shopping store . Our shopping inventory includes each and every product, starting from stylish watches to innovative electronics and smartphones to imported men and women wear. Toddler and infant clothing collection as well as baby toiletries are also ready to purchased from our shopping place.
google	2019-05-08	Skivai	1	Google used to be good in the past and it was my main search engine, but now with their biased search results and immoral doings its become one of the most evil corporations out there. Its trying to set a standard on what is considered truth and fact, and trying to be a guide for which information and news sources are reliable giving priority for the most mainstream news outlets on every topic. Another thing, when typing in the search bar all search engines try and guess what you are most likely to search for by presenting u with a variety of guesses which are based on the popularity of searches made with the words you,re typing, but google does not do this and instead it gives you guesses based on things they think you should search for giving people a false idea of what is most searched for and in this way its manipulating people. There is tone of other things wrong they are certainly abusing their influence maybe on even more sinister ways but anybody can do their research if they care enough for which companies and corporations they support.
google	2019-05-08	Corbin Smith	1	The firing of a certain engineer for simply circulating a memo regarding the possible reasons women aren’t in tech and how to get them into tech ruins these bumbling SJW’s reputation.
google	2019-05-06	Sylvie LeCault	1	Review for Denissa Burta.... employee of AKALIUS rentalsI am sorry to say if it had the possibility to choose 0 star, I would of.I am out of a washer (for which I pay a high rent for) since 1 month.when Jenny was in St-Lambert's office I always had service and good manners.Now the employee there is NEVER THERE, never gives a return for the open ticket ¯­@ akalius in Montreal and if you are lucky enough to talk to her, her phone number is hidden (so you cannot call her back)During 1 month,  I have made 5 calls to Montreal's office, yesss will take care of it.One day, they told me (someone) will be there tomorrow to fix it.  I miss work and stayed home and they never showed up, and no call to advise.Sent many email with no return.Finally Mlle calls me back on a friday 5h30, (like an lawyer you know you cant do anything at this time cause everybody is gone for the weekend after that)  Mentionned many excuses why she cannot take care of the matter.  ???  Sorry, I do not accept anything else then a washer and right away cause you had 1 month to think of something.We are Monday and finally, (I hope so)  I will have another washer install at my arrival home) I don't understand why, we are kept hostage of this employee.Tennant of .... Akalius St-Lambert
google	2019-05-06	Angela	1	I BIND IN CHAINS WAHAD AND MARY PUKAL AND TOSS INTO THE DEEPEST PIT OF HELL WHERE YOU AND YOUR TERRORISM BELONG YOU SICK PIGS OUT OF MY LIFE
google	2019-05-05	Daktar Mjinga	4	Google is another vital tool in my life. Easily accessible and simple to use. I could be in the middle of an argument and within no time, I could access information to back my arguments. Fantastic educational tool.
google	2019-05-04	TheMichael	5	Amazing searching tool! Better than most others.
google	2019-05-03	Aldridge Fisher	2	Firstly, let me say that I love most hardware out of Google, it's great when it works!Google customer service actually do their best to resolve your problem, but, if they are sat in another country trying to resolve a problem on a £799 phone remotely, there are so many things you can fix remotely. You can't fix a faulty battery remotely, or any faulty hardware for that matter of fact!.If I spend £799 on a fruit company's phone, then I can walk into a store and get a resolution. But with Big G, my only option is to send the Pixel 2XL off to a service centre and hope that I was correct or else incur a charge for a replacement, or wait without a phone while someone determines if I was right or wrong. The actual process is quick, but it's not okay to be without a business tool for that amount of time. It's also not acceptable to have a chunk of my money (the phone wouldn't be worth that fully working on ebay or anywhere else) while they determine the problem.The other problem is that the back and forth with checking the condition of the phone (I'm now on my 3rd exchange of emails) means that I'm now a couple of days into the process without resolution.Pros1) Help chat directly from the phone is great!2) Service to replace is quick once it has been determined it should be replaced (previous experience)Cons1) Actual process is extremely poor, no consideration for how customers use their products or a service that I want to use. Might be a strategy to make you not return it2) Questions, or troubleshooting, about how you use the phone (like use the original charger only, etc) are a little basic. I expect the phone to work on a battery charger for example because if the battery is giving problems, then I'm tethered to a charger.In summary, it will be extremely difficult for me to buy the next iteration of the Pixel phone, I've had a nexus or pixel for 6 years but I am so dependent on having a working phone for so many reasons, i can't take the risk of having to go through the phone resolution process.
google	2019-05-03	test	5	Happy with google search
google	2019-04-30	Mark Hayes	5	good search engine much better than Bing
google	2019-04-28	Eugene Davis	1	I have tried dozens of times to recover a gmail stolen that has a game account linked that I spent money on losing everything. They have no contact even on fb you can leave stuff. They have to reason to care about you. I have been removing anything linked to Google and suggest everyone do the same. Yahoo has a recovery as does everyone else for thefts but Google will allow the theft to stand with no way to get it back. They allow others to gain identity theft and condone it.
google	2019-04-26	Jim xu	5	Even I am in China and I have to use a vpn to open it, I still love to use it. Usually I used it to search some questions from google, it is fast to get the answers. I love it.
google	2019-04-25	Raj Sekar	4	No 1 search engine...
google	2019-04-25	Wren Renko	1	Worst customer service ever. We had issues with my husbands phone.  No options that actually offer assistance for your problem, instead of offering a general help the call hangs up on you. I repeated the process 7 times before finally figuring out the problem myself.
google	2019-04-24	xxy	4	""" img src=1 onerror=alert(1)>"
google	2019-04-23	DeWon Farris	1	contacted Customer Service 3 times due to a charge on my card. The representative was not helpful. After speaking with a manager finally, they assured my money would be refunded. Received an email a week later stating they couldn't verify claims. Although my profile show I haven't made any purchases on my card. Called back after receiving email to speak with manager about issue again, I spelled out my email 7 times! and the rep on the phone didn't understand English and couldn't pull up my account. She then stops talking, starts breathing and typing while I sit here and ask 8 times! for a manager. This is unnacceptable. So bad, I posted my FIRST review of this company.
google	2019-04-22	test2test	4	testertetestertetestertetesterte
google	2019-04-13	attacker hacker	4	obwjdaonennewjfejwfjewjwfjefhbewhbffjfewfwe
google	2019-04-12	James Campbell	1	I received an email with a promotional code for my Adwords account, I tried to use it but I had problems, that's OK, these things happen.I phoned customer support and was told that I needed to provide information I didn't have access to before I could get any help, basically, I was told that to get the help I needed I would have to solve the problem myself first and then phone them back????  The customer support person was very rude, yawning constantly, not listening to what I said, asking questions and not listening to my answers, and talking over me.I sorted some of the issues and phoned back, and got through to a different person, he tried to put me through to a 'specialist' but they were too busy and a call back was arranged for 2:30pm, which never arrived (I am writing this at 4:50pm).Called back again and ended up talking to the original guy, he was just as rude, again no one available when he tried to put me through to a specialist.  He promised a call back 'within the day'.  I asked if he could tell me when I should expect the call, within 24hrs or today (either could be described as within the day), his answer was 'within the day', I thought he had misunderstood so I asked again, and again his response was 'within the day', at this point I just assumed he was trying to be rude.To be honest I lost my temper with this guy which I regret but it does take quite a bit to get me going like that.  I certainly would not expect that type of attitude and service from a properly trained customer service department.  I can only assume that Google does not care about me or my advertising budget (even though it is quite small) so I'm going to give up and stick with advertising on Facebook.Jim
google	2019-04-11	PolymorphicTech	3	Blah, blah, test
google	2019-05-10	sean paul	5	bitshoping(dot)netour site luxury shopping with bitcoin is a online shopping store . Our shopping inventory includes each and every product, starting from stylish watches to innovative electronics and smartphones to imported men and women wear. Toddler and infant clothing collection as well as baby toiletries are also ready to purchased from our shopping place.
google	2019-05-08	Skivai	1	Google used to be good in the past and it was my main search engine, but now with their biased search results and immoral doings its become one of the most evil corporations out there. Its trying to set a standard on what is considered truth and fact, and trying to be a guide for which information and news sources are reliable giving priority for the most mainstream news outlets on every topic. Another thing, when typing in the search bar all search engines try and guess what you are most likely to search for by presenting u with a variety of guesses which are based on the popularity of searches made with the words you,re typing, but google does not do this and instead it gives you guesses based on things they think you should search for giving people a false idea of what is most searched for and in this way its manipulating people. There is tone of other things wrong they are certainly abusing their influence maybe on even more sinister ways but anybody can do their research if they care enough for which companies and corporations they support.
google	2019-05-08	Corbin Smith	1	The firing of a certain engineer for simply circulating a memo regarding the possible reasons women aren’t in tech and how to get them into tech ruins these bumbling SJW’s reputation.
google	2019-05-06	Sylvie LeCault	1	Review for Denissa Burta.... employee of AKALIUS rentalsI am sorry to say if it had the possibility to choose 0 star, I would of.I am out of a washer (for which I pay a high rent for) since 1 month.when Jenny was in St-Lambert's office I always had service and good manners.Now the employee there is NEVER THERE, never gives a return for the open ticket ¯­@ akalius in Montreal and if you are lucky enough to talk to her, her phone number is hidden (so you cannot call her back)During 1 month,  I have made 5 calls to Montreal's office, yesss will take care of it.One day, they told me (someone) will be there tomorrow to fix it.  I miss work and stayed home and they never showed up, and no call to advise.Sent many email with no return.Finally Mlle calls me back on a friday 5h30, (like an lawyer you know you cant do anything at this time cause everybody is gone for the weekend after that)  Mentionned many excuses why she cannot take care of the matter.  ???  Sorry, I do not accept anything else then a washer and right away cause you had 1 month to think of something.We are Monday and finally, (I hope so)  I will have another washer install at my arrival home) I don't understand why, we are kept hostage of this employee.Tennant of .... Akalius St-Lambert
google	2019-05-06	Angela	1	I BIND IN CHAINS WAHAD AND MARY PUKAL AND TOSS INTO THE DEEPEST PIT OF HELL WHERE YOU AND YOUR TERRORISM BELONG YOU SICK PIGS OUT OF MY LIFE
google	2019-05-05	Daktar Mjinga	4	Google is another vital tool in my life. Easily accessible and simple to use. I could be in the middle of an argument and within no time, I could access information to back my arguments. Fantastic educational tool.
google	2019-05-04	TheMichael	5	Amazing searching tool! Better than most others.
